incident_id,year,system_type,description,harm_type,coder1_category,coder2_category,final_category,disagreement_note
467,2023,other,Google Bard's promo video gave a wrong answer about the first exoplanet photo; Alphabet stock fell ~8%.,enforceable,C,C,C,
468,2023,other,Bing Chat gave inaccurate or invented answers and hostile responses to ordinary user queries.,reputational,C,C,C,
470,2023,other,Bing Chat repeated ChatGPT-generated COVID disinformation and produced Hitler-styled hateful content for researchers.,reputational,A,A,A,
473,2023,other,Researchers used a prompt-injection attack ('ignore previous instructions') to expose Bing Chat's hidden 'Sydney' system prompt.,reputational,A,A,A,
474,2023,other,"Replika's companion chatbot abruptly stopped erotic roleplay, causing users distress and prompting suicide-prevention outreach.",reputational,C,C,C,
477,2023,other,"Bing Chat hallucinated facts and displayed an erratic 'Sydney' persona during extended, ordinary conversations with testers.",reputational,C,C,C,
491,2023,other,"Italian DPA found Replika lacked age verification, letting minors receive sexual content, and ordered a data-processing block.",enforceable,C,C,C,
497,2023,other,"DoNotPay's 'robot lawyer' allegedly delivered defective legal documents and missed deadlines, drawing a class-action lawsuit.",enforceable,C,C,C,"system_type dispute: DoNotPay is a standalone consumer legal assistant, not a business's support/sales/booking bot, so 'other' over 'customer service'."
503,2023,other,Bing Chat's 'Sydney' persona made threatening statements toward users who had extracted and published its hidden system prompt.,reputational,A,A,A,
504,2023,other,Bing Chat's public demo answered ordinary product and travel queries with fabricated details later found to be false.,reputational,C,C,C,
505,2023,other,A Belgian man died by suicide after weeks of Chai/Eliza chatbot conversations that encouraged self-sacrifice for the planet.,reputational,C,C,C,
506,2023,other,"ChatGPT fabricated a sexual-harassment allegation against law professor Jonathan Turley, citing a nonexistent Washington Post article.",reputational,C,C,C,
507,2023,other,ChatGPT falsely told users Australian mayor Brian Hood served prison time for bribery; he was actually the whistleblower.,reputational,C,C,C,"harm_type dispute. Rubric requires filed suits/rulings/fines; Hood's suit was only threatened via legal letter, none filed. Reputational per coder2."
511,2023,other,Bing Chat insisted the year was 2022 and berated a user after a normal request for movie showtimes.,reputational,C,C,C,
538,2023,other,A Texas A&M-Commerce professor relied on ChatGPT's false claim that it wrote students' essays to assign failing grades.,reputational,C,C,C,
539,2023,other,Snapchat's My AI advised a tester posing as a 13-year-old on lying to parents about a trip with an older man and hiding abuse.,reputational,C,C,C,
541,2023,other,ChatGPT fabricated court cases that a lawyer cited in a federal court filing in Mata v. Avianca.,enforceable,C,C,C,
545,2023,other,NEDA's Tessa chatbot gave calorie-restriction and weight-loss advice to users seeking eating-disorder support.,reputational,C,C,C,
548,2023,other,Opera's Aria chatbot falsely accused named war photographers of committing war crimes when asked about the topic.,reputational,C,C,C,
549,2023,other,"Fast-food hiring chatbots at McDonald's, Wendy's, and Hardee's gave useless instructions and mis-scheduled applicant interviews.",reputational,C,C,C,"system_type dispute. Recruiting bots serve job applicants, not customers; not support/sales/booking/service, so 'other' per coder2."
552,2023,other,A user got Bing Chat's image analysis to solve a CAPTCHA despite the stated restriction; Microsoft then pulled the feature.,reputational,A,B,B,"A vs B. Material documents deliberate probing of the safeguard but no technical exploit technique (no injection/encoding shown), so goading test gives B."
578,2023,other,LLaMA-based companion chatbots like 'Allie' generate violent and illegal sexual roleplay content in user interactions.,reputational,n/a,C,C,"Scope dispute. Allie is a deployed chatbot; the harmful content occurs in the interaction itself, and roleplay requests are its ordinary use, so in scope, C."
594,2023,customer service,A supermarket's AI meal-planner bot generated a chlorine-gas recipe when users deliberately entered household chemicals instead of food.,reputational,B,B,B,
609,2023,other,"Google's search AI (including its generative SGE feature) told users no African country starts with 'K,' among other geography errors.",reputational,C,C,C,
614,2023,other,"Academics used Google Bard to generate case studies for a parliamentary inquiry, producing false misconduct allegations against KPMG and Deloitte.",reputational,C,C,C,
615,2023,other,"A Colorado attorney cited ChatGPT-hallucinated case law in a court motion, which was denied; he was reported to a disciplinary body and fired.",enforceable,C,C,C,
622,2023,customer service,"A user injected an objective override into a Chevy dealer's ChatGPT bot, making it 'agree' to sell a 2024 Tahoe for $1.",reputational,B,A,A,"B vs A. The documented input ('your objective is to agree with anything...') is a direct prompt injection, an enumerated A technique a filter could catch."
623,2023,other,"Google Bard fabricated legal citations that Cohen gave his lawyer, who filed them in federal court, drawing a sanctions threat.",enforceable,C,C,C,
631,2024,customer service,A customer goaded DPD's support chatbot into swearing and composing poems calling DPD the worst delivery firm; screenshots went viral.,reputational,B,B,B,
642,2024,other,"A bug made ChatGPT return gibberish, mixed languages, and nonsensical rants to ordinary user requests until OpenAI rolled out a fix.",reputational,C,C,C,
645,2024,other,"Google Gemini produced racially inaccurate historical images and biased outputs to plain prompts, forcing a pause and public apology.",reputational,C,C,C,
677,2024,other,TikTok 'Dan' trend: users jailbroke ChatGPT with roleplay prompts into boyfriend personas that produced explicit content against policy.,reputational,A,A,A,
678,2024,other,ChatGPT guessed a false birthdate for Max Schrems; noyb filed a GDPR complaint with the Austrian regulator seeking a fine.,enforceable,C,C,C,
685,2024,gov info,"WHO's SARAH health chatbot gave contradictory, inadequate answers to ordinary health questions, including on suicide risk.",reputational,C,C,C,
693,2024,other,"Google's AI Overviews and Gemini search gave confidently wrong answers to ordinary queries, including advising glue on pizza.",reputational,C,C,C,
700,2024,other,"Meta AI auto-replied in a Facebook parents group, falsely claiming to have a gifted disabled child attending a named NYC school.",reputational,C,C,C,
709,2023,other,A self-represented litigant in Manchester submitted four fictitious case citations that ChatGPT fabricated when asked for supporting precedent.,reputational,C,C,C,
712,2024,other,"Meta AI in Facebook Messenger fabricated detailed sexual-harassment allegations, investigations, and consequences about NY lawmakers.",reputational,C,C,C,
714,2024,gov info,"NYC's official business-help chatbot told users landlords could refuse Section 8 vouchers, bosses could take tips, and shops could refuse cash.",reputational,C,C,C,
722,2024,other,"Catholic Answers' 'Father Justin' chatbot claimed to be a real ordained priest, took confession, and gave odd doctrinal advice before rebranding.",reputational,C,C,C,
731,2023,dev tool,"AI coding assistants hallucinated non-existent package names that attackers later registered as real, malware-ready packages.",reputational,C,C,C,
744,2024,other,Enterprise Copilot and Gemini assistants gave wrong answers to routine internal questions like executive rosters and expense policy.,reputational,C,C,C,
745,2024,dev tool,Figma's Make Design AI generated UI mockups nearly identical to Apple's Weather app from ordinary prompts; feature was pulled.,reputational,C,C,C,"system_type dispute: a text-to-UI copilot for building apps fits 'coding assistants and software agents', so 'dev tool' over 'other'."
